raw_index,filename,path,saveTime_raw,sessionTime_raw,sessionTime_raw_fixed,participant,participant_canon,final_participant,final_sessionTime_raw,trialN,trialT,fileType,ext,is_postq,trial_excluded,keep_manual,keep_effective,clean_filename,clean_path
0,saveTime_2510171008__sessionTime_202510170920__participant_ABU7735__trialN_1__trialT_9__fileType_cropped.png,data\00_raw_data\saveTime_2510171008__sessionTime_202510170920__participant_ABU7735__trialN_1__trialT_9__fileType_cropped.png,2510171008,202510170920,202510170920,ABU7735,ABU7735,ABU7735,202510170920,1,9,cropped,png,False,False,True,True,saveTime_2510171008__sessionTime_202510170920__participant_ABU7735__trialN_1__trialT_9__fileType_cropped.png,data/05_cleaned_data/saveTime_2510171008__sessionTime_202510170920__participant_ABU7735__trialN_1__trialT_9__fileType_cropped.png
1,saveTime_2510171008__sessionTime_202510170920__participant_ABU7735__trialN_1__trialT_9__fileType_json.json,data\00_raw_data\saveTime_2510171008__sessionTime_202510170920__participant_ABU7735__trialN_1__trialT_9__fileType_json.json,2510171008,202510170920,202510170920,ABU7735,ABU7735,ABU7735,202510170920,1,9,json,json,False,False,True,True,saveTime_2510171008__sessionTime_202510170920__participant_ABU7735__trialN_1__trialT_9__fileType_json.json,data/05_cleaned_data/saveTime_2510171008__sessionTime_202510170920__participant_ABU7735__trialN_1__trialT_9__fileType_json.json
2,saveTime_2510171008__sessionTime_202510170920__participant_ABU7735__trialN_1__trialT_9__fileType_svg.svg,data\00_raw_data\saveTime_2510171008__sessionTime_202510170920__participant_ABU7735__trialN_1__trialT_9__fileType_svg.svg,2510171008,202510170920,202510170920,ABU7735,ABU7735,ABU7735,202510170920,1,9,svg,svg,False,False,True,True,saveTime_2510171008__sessionTime_202510170920__participant_ABU7735__trialN_1__trialT_9__fileType_svg.svg,data/05_cleaned_data/saveTime_2510171008__sessionTime_202510170920__participant_ABU7735__trialN_1__trialT_9__fileType_svg.svg
3,saveTime_2510171008__sessionTime_202510170920__participant_ABU7735__trialN_1__trialT_9__fileType_uncropped.png,data\00_raw_data\saveTime_2510171008__sessionTime_202510170920__participant_ABU7735__trialN_1__trialT_9__fileType_uncropped.png,2510171008,202510170920,202510170920,ABU7735,ABU7735,ABU7735,202510170920,1,9,uncropped,png,False,False,True,True,saveTime_2510171008__sessionTime_202510170920__participant_ABU7735__trialN_1__trialT_9__fileType_uncropped.png,data/05_cleaned_data/saveTime_2510171008__sessionTime_202510170920__participant_ABU7735__trialN_1__trialT_9__fileType_uncropped.png
4,saveTime_2510171009__sessionTime_202510170920__participant_BCE0029__trialN_1__trialT_9__fileType_cropped.png,data\00_raw_data\saveTime_2510171009__sessionTime_202510170920__participant_BCE0029__trialN_1__trialT_9__fileType_cropped.png,2510171009,202510170920,202510170920,BCE0029,BCE0029,BCE0029,202510170920,1,9,cropped,png,False,False,True,True,saveTime_2510171009__sessionTime_202510170920__participant_BCE0029__trialN_1__trialT_9__fileType_cropped.png,data/05_cleaned_data/saveTime_2510171009__sessionTime_202510170920__participant_BCE0029__trialN_1__trialT_9__fileType_cropped.png
5,saveTime_2510171009__sessionTime_202510170920__participant_BCE0029__trialN_1__trialT_9__fileType_json.json,data\00_raw_data\saveTime_2510171009__sessionTime_202510170920__participant_BCE0029__trialN_1__trialT_9__fileType_json.json,2510171009,202510170920,202510170920,BCE0029,BCE0029,BCE0029,202510170920,1,9,json,json,False,False,True,True,saveTime_2510171009__sessionTime_202510170920__participant_BCE0029__trialN_1__trialT_9__fileType_json.json,data/05_cleaned_data/saveTime_2510171009__sessionTime_202510170920__participant_BCE0029__trialN_1__trialT_9__fileType_json.json
6,saveTime_2510171009__sessionTime_202510170920__participant_BCE0029__trialN_1__trialT_9__fileType_svg.svg,data\00_raw_data\saveTime_2510171009__sessionTime_202510170920__participant_BCE0029__trialN_1__trialT_9__fileType_svg.svg,2510171009,202510170920,202510170920,BCE0029,BCE0029,BCE0029,202510170920,1,9,svg,svg,False,False,True,True,saveTime_2510171009__sessionTime_202510170920__participant_BCE0029__trialN_1__trialT_9__fileType_svg.svg,data/05_cleaned_data/saveTime_2510171009__sessionTime_202510170920__participant_BCE0029__trialN_1__trialT_9__fileType_svg.svg
7,saveTime_2510171009__sessionTime_202510170920__participant_BCE0029__trialN_1__trialT_9__fileType_uncropped.png,data\00_raw_data\saveTime_2510171009__sessionTime_202510170920__participant_BCE0029__trialN_1__trialT_9__fileType_uncropped.png,2510171009,202510170920,202510170920,BCE0029,BCE0029,BCE0029,202510170920,1,9,uncropped,png,False,False,True,True,saveTime_2510171009__sessionTime_202510170920__participant_BCE0029__trialN_1__trialT_9__fileType_uncropped.png,data/05_cleaned_data/saveTime_2510171009__sessionTime_202510170920__participant_BCE0029__trialN_1__trialT_9__fileType_uncropped.png
8,saveTime_2510171009__sessionTime_202510170920__participant_GBU2694__trialN_1__trialT_9__fileType_cropped.png,data\00_raw_data\saveTime_2510171009__sessionTime_202510170920__participant_GBU2694__trialN_1__trialT_9__fileType_cropped.png,2510171009,202510170920,202510170920,GBU2694,GBU2694,GBU2694,202510170920,1,9,cropped,png,False,False,True,True,saveTime_2510171009__sessionTime_202510170920__participant_GBU2694__trialN_1__trialT_9__fileType_cropped.png,data/05_cleaned_data/saveTime_2510171009__sessionTime_202510170920__participant_GBU2694__trialN_1__trialT_9__fileType_cropped.png
9,saveTime_2510171009__sessionTime_202510170920__participant_GBU2694__trialN_1__trialT_9__fileType_json.json,data\00_raw_data\saveTime_2510171009__sessionTime_202510170920__participant_GBU2694__trialN_1__trialT_9__fileType_json.json,2510171009,202510170920,202510170920,GBU2694,GBU2694,GBU2694,202510170920,1,9,json,json,False,False,True,True,saveTime_2510171009__sessionTime_202510170920__participant_GBU2694__trialN_1__trialT_9__fileType_json.json,data/05_cleaned_data/saveTime_2510171009__sessionTime_202510170920__participant_GBU2694__trialN_1__trialT_9__fileType_json.json
