condition_code,condition_name,png_filename
A00,Image A00,A00.png
A01,Image A01,A01.png
A02,Image A02,A02.png
A03,Image A03,A03.png
A04,Image A04,A04.png
A05,Image A05,A05.png
A06,Image A06,A06.png
A07,Image A07,A07.png
A08,Image A08,A08.png
A09,Image A09,A09.png
A10,Image A10,A10.png
A11,Image A11,A11.png
A12,Image A12,A12.png
A13,Image A13,A13.png
A14,Image A14,A14.png
B00,Image B00,B00.png
B01,Image B01,B01.png
B02,Image B02,B02.png
B03,Image B03,B03.png
B04,Image B04,B04.png
B05,Image B05,B05.png
B06,Image B06,B06.png
B07,Image B07,B07.png
B08,Image B08,B08.png
B09,Image B09,B09.png
B10,Image B10,B10.png
B11,Image B11,B11.png
B12,Image B12,B12.png
B13,Image B13,B13.png
B14,Image B14,B14.png
C00,Image C00,C00.png
C01,Image C01,C01.png
C02,Image C02,C02.png
C03,Image C03,C03.png
C04,Image C04,C04.png
C05,Image C05,C05.png
C06,Image C06,C06.png
C07,Image C07,C07.png
C08,Image C08,C08.png
C09,Image C09,C09.png
C10,Image C10,C10.png
C11,Image C11,C11.png
C12,Image C12,C12.png
C13,Image C13,C13.png
C14,Image C14,C14.png
