participant_code,condition_code,condition_name,condition_hz,condition_type,stimulus_type,trialn,png_filename,focal_x_norm,focal_y_norm,detail_raw,detail,r_directionality_raw,r_directionality,theta_directionality_raw,theta_directionality,brightness_raw,brightness,contrast_raw,contrast
TKB3728,7,80 Hz,80.0,CONTROL,LIGHT,2,saveTime_2510171012__sessionTime_202510170920__participant_TKB3728__trialN_2__trialT_7__fileType_cropped.png,0.0,0.0,0.00083658163,0.0381833,0.058463767,0.080820456,0.7152797,0.9162741,0.7444855,0.7444855,0.05688852,0.05688852
TKB3728,7,80 Hz,80.0,CONTROL,LIGHT,2,saveTime_2510171012__sessionTime_202510170920__participant_TKB3728__trialN_2__trialT_7__fileType_uncropped.png,0.0,0.0,0.0008716701,0.03978481,0.05847871,0.08084111,0.71499044,0.9159035,0.7466229,0.7466229,0.057108816,0.057108816
ABU7735,7,80 Hz,80.0,CONTROL,LIGHT,2,saveTime_2510171013__sessionTime_202510170920__participant_ABU7735__trialN_2__trialT_7__fileType_cropped.png,0.0,0.0,0.0038652804,0.17641933,0.82500505,1.140489,0.029136466,0.037323844,0.9973637,0.9973637,0.0115965,0.0115965
ABU7735,7,80 Hz,80.0,CONTROL,LIGHT,2,saveTime_2510171013__sessionTime_202510170920__participant_ABU7735__trialN_2__trialT_7__fileType_uncropped.png,0.0,0.0,0.003952875,0.18041731,0.8252198,1.1407858,0.028801393,0.036894616,0.99729604,0.99729604,0.011737229,0.011737229
BCE0029,7,80 Hz,80.0,CONTROL,LIGHT,2,saveTime_2510171013__sessionTime_202510170920__participant_BCE0029__trialN_2__trialT_7__fileType_cropped.png,0.0,0.0,0.00024639157,0.011245817,0.050434012,0.0697201,0.77097803,0.9876237,0.6210406,0.6210406,0.2627123,0.2627123
BCE0029,7,80 Hz,80.0,CONTROL,LIGHT,2,saveTime_2510171013__sessionTime_202510170920__participant_BCE0029__trialN_2__trialT_7__fileType_uncropped.png,0.0,0.0,0.0002559726,0.011683115,0.050344218,0.06959597,0.77087295,0.9874891,0.63387656,0.63387656,0.26057455,0.26057455
GBU2694,7,80 Hz,80.0,CONTROL,LIGHT,2,saveTime_2510171013__sessionTime_202510170920__participant_GBU2694__trialN_2__trialT_7__fileType_cropped.png,0.0,0.0,0.00050144154,0.02288682,0.15819459,0.21868858,0.38258344,0.4900898,0.82490575,0.82490575,0.18944067,0.18944067
GBU2694,7,80 Hz,80.0,CONTROL,LIGHT,2,saveTime_2510171013__sessionTime_202510170920__participant_GBU2694__trialN_2__trialT_7__fileType_uncropped.png,0.0,0.0,0.000522724,0.023858195,0.1582524,0.2187685,0.38250193,0.48998538,0.83411527,0.83411527,0.18795635,0.18795635
ZBV2331,7,80 Hz,80.0,CONTROL,LIGHT,2,saveTime_2510171013__sessionTime_202510170920__participant_ZBV2331__trialN_2__trialT_7__fileType_cropped.png,0.0,0.0,0.00032866854,0.015001106,0.050228454,0.06943594,0.79175156,1.0142347,0.7956191,0.7956191,0.15366164,0.15366164
ZBV2331,7,80 Hz,80.0,CONTROL,LIGHT,2,saveTime_2510171013__sessionTime_202510170920__participant_ZBV2331__trialN_2__trialT_7__fileType_uncropped.png,0.0,0.0,0.00033385717,0.0152379265,0.036024593,0.049800485,0.8167215,1.0462211,0.80325717,0.80325717,0.1504278,0.1504278
