condition_code,condition_name,png_filename,focal_x_norm,focal_y_norm,detail_raw,detail,r_directionality_raw,r_directionality,theta_directionality_raw,theta_directionality,brightness_raw,brightness,contrast_raw,contrast,curvilinearity_raw,curvilinearity,complexity_ratio_raw,complexity_ratio,blur_raw,blur
A00,Image A00,A00.png,0.0,0.0,0.00714219,0.31997412,0.7816451,1.0788109,0.0093102595,0.011775272,0.21066464,0.21066464,0.1737768,0.1737768,0.026911695,0.026911695,4.5906055e+06,4.5906055e+06,110.78597,110.78597
A01,Image A01,A01.png,0.0,0.0,0.010301105,0.4614953,0.28613392,0.3949163,0.20589347,0.26040643,0.41591305,0.41591305,0.1757466,0.1757466,0.015361921,0.015361921,4.8154315e+06,4.8154315e+06,128.7257,128.7257
A02,Image A02,A02.png,0.0,0.0,0.005755242,0.25783807,0.054612435,0.07537499,0.5894425,0.74550503,0.060295574,0.060295574,0.21334726,0.21334726,0.019442374,0.019442374,4.1756462e+06,4.1756462e+06,75.96988,75.96988
A03,Image A03,A03.png,0.0,0.0,0.010703112,0.47950545,0.25798064,0.35605973,0.2716985,0.34363422,0.14835933,0.14835933,0.08292654,0.08292654,0.03161952,0.03161952,6.2710085e+06,6.2710085e+06,465.68094,465.68094
A04,Image A04,A04.png,0.0,0.0,0.018649407,0.83550394,0.80685186,1.1136009,0.118868925,0.15034102,0.042522393,0.042522393,0.020699523,0.020699523,0.058731955,0.058731955,1.1248593e+07,1.1248593e+07,4184.557,4184.557
A05,Image A05,A05.png,0.0,0.0,0.014175958,0.6350909,0.038160913,0.05266893,0.6821752,0.86279,0.3240615,0.3240615,0.17058642,0.17058642,0.04651192,0.04651192,3.57584e+06,3.57584e+06,53.46965,53.46965
A06,Image A06,A06.png,0.0,0.0,0.00096260046,0.043125045,0.21474266,0.29638353,0.34671092,0.43850714,0.40908852,0.40908852,0.07394417,0.07394417,0.011002524,0.011002524,2.2904044e+07,2.2904044e+07,3782.2034,3782.2034
A07,Image A07,A07.png,0.0,0.0,0.016062751,0.71962035,0.8210961,1.1332605,0.009734211,0.01231147,0.0631607,0.0631607,0.0994433,0.0994433,0.026455797,0.026455797,7.0653955e+06,7.0653955e+06,427.82773,427.82773
A08,Image A08,A08.png,0.0,0.0,0.011198372,0.50169337,0.2906194,0.4011071,0.28119004,0.35563874,0.40532777,0.40532777,0.16203155,0.16203155,0.014530123,0.014530123,5.5525655e+06,5.5525655e+06,193.09903,193.09903
A09,Image A09,A09.png,0.0,0.0,0.023994282,1.0749574,0.9828734,1.3565422,0.0042993757,0.005437691,0.13957667,0.13957667,0.12047384,0.12047384,0.03822126,0.03822126,5.6318975e+06,5.6318975e+06,157.89503,157.89503
A10,Image A10,A10.png,0.0,0.0,0.035378918,1.5849955,0.52507895,0.7247035,0.28335565,0.35837775,0.57962984,0.57962984,0.06257125,0.06257125,0.091770306,0.091770306,6.0062315e+06,6.0062315e+06,346.42444,346.42444
A11,Image A11,A11.png,0.0,0.0,0.028473264,1.2756183,0.70060277,0.9669579,0.14620613,0.1849161,0.29093423,0.29093423,0.32011965,0.32011965,0.060426723,0.060426723,3.3947075e+06,3.3947075e+06,23.593313,23.593313
A12,Image A12,A12.png,0.0,0.0,0.0032926346,0.14751188,0.3476687,0.4798454,0.24686183,0.3122217,0.65152776,0.65152776,0.22405459,0.22405459,0.017270023,0.017270023,7.0670915e+06,7.0670915e+06,253.54341,253.54341
