participant_code,condition_code,condition_name,condition_hz,condition_type,stimulus_type,trialn,png_filename
P301,7,80 Hz,80.0,CONTROL,LIGHT,2,saveTime_2510171012__sessionTime_202510170920__participant_P301__trialN_2__trialT_7__fileType_cropped.png
P302,7,80 Hz,80.0,CONTROL,LIGHT,2,saveTime_2510171013__sessionTime_202510170920__participant_P302__trialN_2__trialT_7__fileType_cropped.png
P303,7,80 Hz,80.0,CONTROL,LIGHT,2,saveTime_2510171013__sessionTime_202510170920__participant_P303__trialN_2__trialT_7__fileType_cropped.png
P304,7,80 Hz,80.0,CONTROL,LIGHT,2,saveTime_2510171013__sessionTime_202510170920__participant_P304__trialN_2__trialT_7__fileType_cropped.png
P305,7,80 Hz,80.0,CONTROL,LIGHT,2,saveTime_2510171013__sessionTime_202510170920__participant_P305__trialN_2__trialT_7__fileType_cropped.png
P302,2,5 Hz,5.0,EXPERIMENTAL,LIGHT,3,saveTime_2510171017__sessionTime_202510170920__participant_P302__trialN_3__trialT_2__fileType_cropped.png
P303,2,5 Hz,5.0,EXPERIMENTAL,LIGHT,3,saveTime_2510171017__sessionTime_202510170920__participant_P303__trialN_3__trialT_2__fileType_cropped.png
P304,2,5 Hz,5.0,EXPERIMENTAL,LIGHT,3,saveTime_2510171017__sessionTime_202510170920__participant_P304__trialN_3__trialT_2__fileType_cropped.png
P301,2,5 Hz,5.0,EXPERIMENTAL,LIGHT,3,saveTime_2510171017__sessionTime_202510170920__participant_P301__trialN_3__trialT_2__fileType_cropped.png
P305,2,5 Hz,5.0,EXPERIMENTAL,LIGHT,3,saveTime_2510171017__sessionTime_202510170920__participant_P305__trialN_3__trialT_2__fileType_cropped.png
P303,B10,,,VALIDATION,IMAGE,4,saveTime_2510171020__sessionTime_202510170920__participant_P303__trialN_4__trialT_B10__fileType_cropped.png
P301,B09,,,VALIDATION,IMAGE,4,saveTime_2510171020__sessionTime_202510170920__participant_P301__trialN_4__trialT_B09__fileType_cropped.png
P305,B12,,,VALIDATION,IMAGE,4,saveTime_2510171020__sessionTime_202510170920__participant_P305__trialN_4__trialT_B12__fileType_cropped.png
P302,B09,,,VALIDATION,IMAGE,4,saveTime_2510171021__sessionTime_202510170920__participant_P302__trialN_4__trialT_B09__fileType_cropped.png
P304,B05,,,VALIDATION,IMAGE,4,saveTime_2510171021__sessionTime_202510170920__participant_P304__trialN_4__trialT_B05__fileType_cropped.png
P301,2,5 Hz,5.0,EXPERIMENTAL,LIGHT,5,saveTime_2510171023__sessionTime_202510170920__participant_P301__trialN_5__trialT_2__fileType_cropped.png
P302,2,5 Hz,5.0,EXPERIMENTAL,LIGHT,5,saveTime_2510171024__sessionTime_202510170920__participant_P302__trialN_5__trialT_2__fileType_cropped.png
P304,2,5 Hz,5.0,EXPERIMENTAL,LIGHT,5,saveTime_2510171024__sessionTime_202510170920__participant_P304__trialN_5__trialT_2__fileType_cropped.png
P305,2,5 Hz,5.0,EXPERIMENTAL,LIGHT,5,saveTime_2510171024__sessionTime_202510170920__participant_P305__trialN_5__trialT_2__fileType_cropped.png
P303,2,5 Hz,5.0,EXPERIMENTAL,LIGHT,5,saveTime_2510171025__sessionTime_202510170920__participant_P303__trialN_5__trialT_2__fileType_cropped.png
P304,C09,,,VALIDATION,IMAGE,6,saveTime_2510171037__sessionTime_202510170920__participant_P304__trialN_6__trialT_C09__fileType_cropped.png
P302,C14,,,VALIDATION,IMAGE,6,saveTime_2510171038__sessionTime_202510170920__participant_P302__trialN_6__trialT_C14__fileType_cropped.png
P303,C04,,,VALIDATION,IMAGE,6,saveTime_2510171038__sessionTime_202510170920__participant_P303__trialN_6__trialT_C04__fileType_cropped.png
P301,C00,,,VALIDATION,IMAGE,6,saveTime_2510171038__sessionTime_202510170920__participant_P301__trialN_6__trialT_C00__fileType_cropped.png
P305,C05,,,VALIDATION,IMAGE,6,saveTime_2510171038__sessionTime_202510170920__participant_P305__trialN_6__trialT_C05__fileType_cropped.png
